IdRecepcion,IdProducto,Pcosto,Pventa,Cantidad
370,182,0,600,10
371,142,0,600,48
371,125,0,500,105
371,183,0,650,48
371,10,0,650,24
371,184,0,700,24
371,180,0,750,48
372,111,0,850,50
373,147,0,1150,50
374,55,0,1250,20
375,116,0,600,50
376,113,0,750,50
377,163,0,700,10
378,158,0,750,10
379,157,0,600,5
379,131,0,600,6
379,179,0,600,15
379,176,0,600,12
379,130,0,600,11
380,52,0,650,20
381,119,0,1300,20
382,55,0,1250,50
383,104,0,1150,50
384,53,0,1000,50
385,160,0,950,20
386,182,0,600,10
387,113,0,750,40
387,173,0,1250,20
388,159,0,700,20
389,111,0,850,40
390,111,0,850,50
391,165,0,600,40
392,147,0,1150,30
393,158,0,750,15
394,163,0,700,20
395,182,0,600,9
396,147,0,1150,50
397,157,0,600,7
397,176,0,600,12
397,138,0,600,7
397,131,0,600,5
397,179,0,600,9
398,182,0,600,9
399,113,0,750,50
400,135,0,500,24
400,185,0,750,10
401,182,0,600,20
402,116,0,600,50
403,159,0,700,168
404,186,0,750,72
405,187,0,700,45
406,147,0,1150,50
407,135,0,500,20
408,55,0,1250,20
409,119,0,1300,30
410,95,164,600,20
411,95,164,600,20
412,163,0,700,20
413,182,0,600,10
414,187,0,1150,50
415,176,0,600,12
416,163,0,700,15
417,111,0,850,50
418,113,0,750,50
419,158,0,750,16
420,182,0,600,2
421,182,0,600,10
422,183,0,650,24
423,182,0,600,10
424,189,0,750,24
425,188,0,1150,24
426,176,0,600,9
427,131,0,600,8
428,186,0,750,36
429,187,0,700,90
430,181,0,700,6
431,67,0,1500,10
432,181,0,700,20
433,64,0,1200,25
434,53,0,1250,34
435,55,0,1500,30
436,190,0,950,15
437,3,0,600,20
438,152,0,900,12
439,158,0,750,10
440,181,0,700,10
441,131,0,600,15
442,64,0,1200,30
443,179,0,600,20
444,191,0,500,80
445,192,0,1200,24
446,192,0,1200,24
447,193,0,1300,20
448,194,0,1200,10
449,195,0,1200,10
450,196,0,1200,10
451,197,0,750,10
452,198,0,750,10
453,199,0,850,10
454,200,0,850,10
455,111,0,850,50
456,142,0,600,48
457,181,0,700,5
458,181,0,700,10
459,115,0,600,14
460,131,0,600,7
461,113,0,750,50
462,64,0,1200,30
463,163,0,700,10
464,181,0,700,20
465,52,0,650,20
466,196,0,1200,20
467,194,0,1200,20
468,116,0,600,100
469,53,0,1250,20
470,64,0,1200,50
471,55,0,1500,20
472,201,0,1800,6
473,202,0,2000,6
474,202,0,2000,6
475,119,0,1300,20
476,113,0,750,50
477,202,0,2000,10
478,147,0,1150,5
479,64,0,1200,50
480,202,0,2000,6
481,55,0,1500,20
482,67,0,1500,20
483,142,0,600,20
484,103,0,600,6
484,115,0,600,8
484,131,0,600,9
485,64,0,1200,20
486,119,0,1300,50
487,196,0,1200,20
490,56,0,850,20
489,115,0,600,4
488,101,0,600,7
491,202,0,2000,19
492,55,0,1500,20
493,64,0,1200,50
494,113,0,750,50
495,142,0,600,20
496,194,0,1200,20
497,202,0,2000,17
498,111,0,850,50
499,202,0,2000,10
500,55,0,1500,30
501,64,0,1200,20
502,137,0,50,100
503,113,0,750,50
504,202,0,2000,20
505,64,0,1200,50
506,101,0,600,30
507,166,0,600,30
508,203,0,1150,50
509,204,0,800,50
510,205,0,650,50
511,206,0,700,10
512,199,0,1150,10
513,200,0,1150,10
514,207,0,1000,100
515,208,0,1150,60
516,195,0,1600,20
517,194,0,1600,20
518,112,0,600,8
519,202,0,2000,9
520,55,0,1700,20
521,131,0,600,8
522,115,0,600,15
523,210,0,1500,15
524,131,0,600,8
525,115,0,600,15
526,101,0,600,10
527,64,0,1300,100
528,206,0,700,160
529,195,0,1600,20
529,194,0,1600,20
530,211,0,650,38
531,204,0,800,100
532,210,0,1500,15
533,193,0,1700,30
534,210,0,1500,20
535,55,0,1700,50
536,119,0,1500,50
537,166,0,600,20
538,203,0,1150,50
539,210,0,1500,25
540,131,0,600,11
541,115,0,600,18
542,101,0,600,8
543,204,0,800,100
544,64,0,1300,30
545,210,0,1500,21
546,212,0,700,27
547,64,0,1300,50
548,166,0,600,20
549,205,0,650,100
550,142,0,600,48
551,210,0,1500,22
552,210,0,1500,11
553,64,0,1300,100
554,55,0,1700,50
555,203,0,1150,100
556,48,0,600,10
557,210,0,1500,25
558,52,0,650,20
559,208,0,1150,60
560,180,0,750,34
561,213,0,100,44
562,214,0,1150,48
563,142,0,600,24
564,52,0,650,20
565,210,0,1500,23
566,115,0,600,13
567,204,0,800,20
568,55,0,1700,50
569,119,0,1500,100
570,196,0,1600,10
571,210,0,1500,28
572,196,0,1600,20
573,196,0,1600,20
574,217,0,1600,10
575,216,0,1600,10
576,215,470,950,20
577,104,0,1150,20
578,64,0,1300,20
579,218,0,1600,50
580,204,0,800,20
581,204,0,800,30
582,64,0,1300,30
583,219,0,600,24
584,210,0,1500,15
585,101,0,600,20
586,131,0,600,10
587,204,0,800,100
588,64,0,1300,100
589,48,0,600,100
590,216,0,1600,17
591,195,0,1600,10
592,210,0,1500,15
593,195,0,1600,7
594,220,0,850,24
595,210,0,1500,1
596,210,0,1500,20
597,203,0,1150,100
598,204,0,800,40
599,216,0,1600,20
600,195,0,1600,20
601,196,0,1600,20
602,217,0,1600,20
603,204,0,800,100
604,55,0,1700,100
605,210,0,1500,20
606,115,0,600,9
607,131,0,600,10
608,101,0,600,13
609,221,0,600,24
610,210,0,1500,20
611,210,0,1500,20
612,64,0,1300,30
613,115,0,600,12
614,131,0,600,11
615,101,0,600,13
616,4,0,1150,29
617,10,0,650,3
618,7,0,750,2
619,222,0,900,3
620,140,0,750,1
621,153,0,750,1
622,204,0,800,40
623,221,0,600,18
624,64,0,1300,40
625,184,0,700,48
626,205,0,650,200
627,210,0,2000,16
628,159,0,700,1
629,159,0,700,1
630,64,0,1300,20
631,223,0,950,20
632,223,0,950,25
633,223,0,950,35
634,50,0,600,48
635,50,0,600,47
636,64,0,1300,50
637,220,0,850,23
638,204,0,800,40
639,210,0,1750,20
640,223,0,950,2
641,206,0,950,150
642,64,0,1300,100
643,214,0,1150,96
644,204,0,800,100
645,101,0,600,13
646,210,0,1750,15
647,203,0,1150,30
648,210,0,1750,15
649,119,0,1500,100
650,4,0,1150,24
651,50,0,600,45
652,137,0,50,100
653,101,0,600,13
654,115,0,600,19
655,64,0,1300,50
656,131,0,600,1
657,203,0,1150,100
658,131,0,600,5
659,131,0,600,3
660,210,0,1750,14
661,196,0,1600,20
662,217,0,1600,20
663,216,0,1600,20
664,208,0,1150,60
665,4,0,1150,48
666,64,0,1300,100
667,139,0,750,48
668,50,0,600,2
669,50,0,600,48
670,131,0,600,2
671,115,0,600,15
672,204,0,800,100
673,131,0,600,2
674,64,0,1300,100
675,50,0,600,24
676,131,0,600,2
677,55,0,1700,20
678,115,0,600,14
679,131,0,600,8
680,224,0,600,20
681,94,0,700,33
682,92,0,700,7
683,230,0,700,5
684,225,0,1250,20
685,1,0,850,36
686,2,0,850,15
687,16,0,700,24
688,217,0,1600,3
689,218,0,1650,3
690,119,0,1550,28
691,224,0,700,1
692,131,0,700,1
693,131,0,700,1
694,95,0,700,4
695,131,0,700,5
696,55,0,1750,20
697,64,0,1350,40
698,196,0,1600,30
699,196,0,1600,7
700,196,0,1600,2
701,196,0,1600,1
702,92,0,700,11
703,213,0,100,200
704,224,0,700,24
705,232,0,800,24
706,181,0,2000,15
707,131,0,700,1
708,131,0,700,1
709,203,0,1200,30
710,64,0,1350,40
711,55,0,1750,15
712,233,0,700,5
713,181,0,2200,10
714,233,0,700,3
715,94,0,700,5
716,181,0,2200,5
717,53,0,1800,100
718,131,0,850,8
719,92,0,850,10
720,229,0,850,15
721,64,0,1650,100
722,224,0,850,45
723,55,0,2150,20
724,178,0,650,24
725,1,0,1000,24
726,234,0,750,23
727,10,0,650,24
728,225,0,1500,100
729,181,0,2200,25
730,204,0,1150,50
731,181,0,2200,16
732,131,0,850,7
733,95,0,850,15
734,94,0,850,8
735,92,0,850,4
736,77,0,100,200
737,55,0,2150,20
738,235,0,300,3000
738,237,0,15,300
738,236,0,4.5,300
